name,category,rating,address,subtypes,type,price_estimate,description,combined_text
Desa Wisata Kelor,attractions,4.5,"Kelor, Bangun Kerto, Turi, Sleman Regency, Special Region of Yogyakarta 55551",Tourist attraction,wisata,40000,,desa wisata kelor attractions tourist attraction kelor bangun kerto turi sleman regency special region
Sekretariat Desa Wisata Suryatman Danurejan Yogyakarta,attractions,5.0,"6939+HFW, Jl. Jomblangan, Suryatmajan, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55213",Tourist attraction,wisata,40000,,sekretariat desa wisata suryatman danurejan attractions tourist attraction hfw jomblangan suryatmajan danurejan
Kampung Wisata Dipowinatan,attractions,5.0,"Jl. Dipowinatan MG 1 No.257, Keparakan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55152",Tourist attraction,wisata,40000,,kampung wisata dipowinatan attractions tourist attraction dipowinatan mg keparakan mergangsan
Desa Wisata Pulesari,attractions,4.5,"99FC+JMW, Jl. Pulesari, Pulesari, Wono Kerto, Kec. Turi, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55551",Tourist attraction,wisata,40000,,desa wisata pulesari attractions tourist attraction jmw pulesari pulesari wono kerto turi sleman
Kampung Wisata Prenggan ꦏꦩ꧀ꦥꦸꦁꦮꦶꦱꦠꦥꦿꦼꦁꦒꦤ꧀,attractions,5.0,"59GX+VXX, Jl. Nyi Pembayun, Prenggan, Kec. Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55172",Tourist attraction,wisata,40000,,kampung wisata prenggan attractions tourist attraction vxx nyi pembayun prenggan kotagede
RENCANA WISATA DESA BANGUNTAPAN,attractions,0.0,"5CG4+V27, Plumbon, Banguntapan, Bantul Regency, Special Region of Yogyakarta 55198",Tourist attraction,wisata,40000,,rencana wisata desa banguntapan attractions tourist attraction plumbon banguntapan bantul regency special region
Kampung Wisata Surokarsan Sura Amerta,attractions,4.6,"Jl. Surokarsan Gg. MG II No.383, Wirogunan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55151",Tourist attraction,wisata,40000,,kampung wisata surokarsan sura amerta attractions tourist attraction surokarsan gg mg ii wirogunan mergangsan
Desa Wisata Gerabah Kasongan Bantul,attractions,3.7,"Jl. Kasongan No.RT 03, Jetis, Bangunjiwo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",Tourist attraction,wisata,40000,,desa wisata gerabah kasongan bantul attractions tourist attraction kasongan rt jetis bangunjiwo kasihan bantul
Kembang Arum Tourism Village,attractions,4.5,"Kembangarum 13, Donokerto, Turi, Wetan Kali, Donokerto, Kec. Turi, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55551",Tourist attraction,wisata,40000,,kembang arum tourism village attractions tourist attraction kembangarum donokerto turi wetan kali donokerto turi sleman
Kampung Wisata Kauman,museums,4.8,"59W6+MWM, Gg. KH. Zamhari, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",History museum,wisata,35000,,kampung wisata kauman museums history museum mwm gg kh zamhari ngupasan gondomanan
Desa Wisata Bobung,attractions,4.3,"4GPX+52X, Bobung, Putat, Kec. Patuk, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55862",Tourist attraction,wisata,40000,,desa wisata bobung attractions tourist attraction bobung putat patuk gunungkidul
Desa Wisata Pendidikan dan Ketahanan Pangan Dukuh,attractions,4.4,"8926+7P5, Jl. Pelda Sugiono, RT.03/RW.21, Niron, Pandowoharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55512",Tourist attraction,wisata,40000,,desa wisata pendidikan ketahanan pangan dukuh attractions tourist attraction pelda sugiono rt rw niron pandowoharjo sleman sleman
Kampung Flory Jogja,attractions,4.2,"Jl. Jugang, RT.05/RW.11, Plaosan, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511","Tourist attraction, Indonesian restaurant, Outdoor activity organiser, Plant nursery",wisata,25000,,kampung flory jogja attractions tourist attraction indonesian restaurant outdoor activity organiser plant nursery jugang rt rw plaosan tridadi sleman sleman
Desa Wisata Kebonagung Imogiri,attractions,4.6,"Talaban, Kebon Agung, Imogiri, Bantul Regency, Special Region of Yogyakarta 55782",Tourist attraction,wisata,40000,,desa wisata kebonagung imogiri attractions tourist attraction talaban kebon agung imogiri bantul regency special region
Kampung Wisata Code Jetisharjo,taman,4.9,"Jl. Jetisharjo, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Garden,wisata,50000,,kampung wisata code jetisharjo taman garden jetisharjo cokrodiningratan jetis
Desa Wisata Nglinggo,attractions,4.4,"Nglinggo Barat, Pagerharjo, Samigaluh, Kulon Progo Regency, Special Region of Yogyakarta 55673","Tourist attraction, Park",wisata,40000,,desa wisata nglinggo attractions tourist attraction park nglinggo barat pagerharjo samigaluh kulon progo regency special region
Kampung Wisata Purbayan,travel agency,4.9,"Jln Canteng No.29, RT.37/RW.09, Purbayan, Kec. Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55173",Travel agency,wisata,50000,,kampung wisata purbayan travel agency travel agency jln canteng rt rw purbayan kotagede
Desa Wisata Sendari,attractions,4.3,"787G+26C, Jl. Sendari, Sendon, Tirtoadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55287",Tourist attraction,wisata,40000,,desa wisata sendari attractions tourist attraction sendari sendon tirtoadi mlati sleman
Desa Wisata Rumah Domes,attractions,4.1,"Sengir RT.06/RW.25, Sengir, Sumberharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",Tourist attraction,wisata,40000,,desa wisata rumah domes attractions tourist attraction sengir rt rw sengir sumberharjo prambanan sleman
DESA WISATA NGLANGGERAN,attractions,4.9,"5G4Q+W48, Jl. Ngoro Ngoro Ombo, Tawang, Ngoro-oro, Kec. Patuk, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55862",Tourist attraction,wisata,40000,,desa wisata nglanggeran attractions tourist attraction ngoro ngoro ombo tawang ngoro oro patuk gunungkidul
KAMPUNG WISATA SIDOMULYO BENER,attractions,5.0,"Jl. Sidomulyo, Bener, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55243",Tourist attraction,wisata,40000,,kampung wisata sidomulyo bener attractions tourist attraction sidomulyo bener tegalrejo
Desa Wisata Tepus,attractions,4.6,"VJPP+39, Pudak, Tepus, Kec. Tepus, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55881",Tourist attraction,wisata,40000,,desa wisata tepus attractions tourist attraction vjpp pudak tepus tepus gunungkidul
Desa Wisata Dewi Sinta,attractions,5.0,"5C4R+5J9, Jl. Sitimulyo, Karang Gayam, Sitimulyo, Kec. Piyungan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55792",Tourist attraction,wisata,40000,,desa wisata dewi sinta attractions tourist attraction sitimulyo karang gayam sitimulyo piyungan bantul
Desawisata Kadisobo II,attractions,4.4,"89G6+22G, Jln Turi-Sleman/Jln Salak Km 4,5 Trimulyo Sleman Yogyakarta, Sleman, RT.01/RW.tw03, Kadisobo II, Trimulyo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55513",Tourist attraction,wisata,40000,,desawisata kadisobo ii attractions tourist attraction jln turi sleman jln salak km trimulyo sleman sleman rt rw kadisobo ii trimulyo sleman sleman
Desa Wisata Kampung Santan,attractions,4.7,"4842+VX9, Kalak Ijo, Guwosari, Pajangan, Bantul Regency, Special Region of Yogyakarta 55751",Tourist attraction,wisata,40000,,desa wisata kampung santan attractions tourist attraction kalak ijo guwosari pajangan bantul regency special region
Tourism Village Trumpon,attractions,4.0,"Trumpon, Blumbang, Merdikorejo, Kec. Tempel, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55552",Tourist attraction,wisata,40000,,tourism village trumpon attractions tourist attraction trumpon blumbang merdikorejo tempel sleman
Desa Wisata Tegal Arum,attractions,5.0,"Kronggahan II, RT10, RW10, Kranggahan I, Trihanggo, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55291","Tourist attraction, Garden",wisata,40000,,desa wisata tegal arum attractions tourist attraction garden kronggahan ii kranggahan trihanggo gamping sleman
Sekretariat Desa Wisata Krebet Pajangan,kantor pemda,4.7,"48Q2+J5P, Desa Wisata Krebet No.RT. 04, Krebet, Sendangsari, Kec. Pajangan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55751",Local government office,wisata,50000,,sekretariat desa wisata krebet pajangan kantor pemda local government office desa wisata krebet rt krebet sendangsari pajangan bantul
Wisata Kampung Nglarang Sidoarum,attractions,4.4,"Cokrobedog, Jl. Merpati VI, RT.002/RW.010, Cokro Gedok, Sidoarum, Kec. Godean, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55265",Tourist attraction,wisata,40000,,wisata kampung nglarang sidoarum attractions tourist attraction cokrobedog merpati vi rt rw cokro gedok sidoarum godean sleman
Village Tourism New Nglepen,attractions,4.0,"5GP3+F9F, Sengir, Sumberharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",Tourist attraction,wisata,40000,,village tourism new nglepen attractions tourist attraction sengir sumberharjo prambanan sleman
Desa Wisata Kalakijo,attractions,4.5,"4842+XR3, Jl. Pajangan Desa Kalakijo RT02, Kalak Ijo, Guwosari, Kec. Pajangan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55751","Tourist attraction, Diner",wisata,40000,,desa wisata kalakijo attractions tourist attraction diner pajangan desa kalakijo kalak ijo guwosari pajangan bantul
Wanadesa - Telagadesa Potorono,attractions,4.5,"Salakan, Potorono, Banguntapan, Bantul Regency, Special Region of Yogyakarta 55196","National reserve, Tourist attraction",wisata,40000,,wanadesa telagadesa potorono attractions national reserve tourist attraction salakan potorono banguntapan bantul regency special region
Desa Wisata Brayut,attractions,4.5,"Brayut, Pandowoharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55512","Tour operator, Tourist attraction",wisata,40000,,desa wisata brayut attractions tour operator tourist attraction brayut pandowoharjo sleman sleman
Tembi Desa Budaya ꦠꦼꦩ꧀ꦧꦶꦢꦼꦱꦧꦸꦢꦪ,museums,4.5,"Jl. Parangtritis Jl. Tembi No.8, Tembi, Timbulharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55185","Museum, Tourist attraction",wisata,40000,,tembi desa budaya museums museum tourist attraction parangtritis tembi tembi timbulharjo sewon bantul
Desa Wisata Jamur (ꦣꦺꦱꦮꦶꦱꦠꦗꦩꦸꦂ),attractions,4.3,"Dusun Jamur Padukuhan Kalurahan, Tobayan, Sendangrejo, Kapanewon Minggir, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55562",Tourist attraction,wisata,40000,,desa wisata jamur attractions tourist attraction dusun jamur padukuhan kalurahan tobayan sendangrejo kapanewon minggir sleman
Telaga Desa Baturetno,attractions,4.3,"Jl. Wiyoro Baru Jl. Wiyoro Kidul, Wiyoro, Baturetno, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55197",Tourist attraction,wisata,40000,,telaga desa baturetno attractions tourist attraction wiyoro baru wiyoro kidul wiyoro baturetno banguntapan bantul
Legend Coffee,cafes,4.4,"Jl. Abu Bakar Ali No.24-26, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224","Cafe, Restaurant",kuliner,50000,,legend coffee cafes cafe restaurant abu bakar ali kotabaru gondokusuman
Blanco Coffee And Books,coffee shops,4.6,"Jl. Kranggan No.30, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Coffee shop,kuliner,50000,,blanco coffee books coffee shops coffee shop kranggan cokrodiningratan jetis
Jeeva Yogyakarta,coffee shops,4.5,"Jl. Suhartono No.2, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",Coffee shop,kuliner,50000,,jeeva coffee shops coffee shop suhartono kotabaru gondokusuman
Silol Kopi & Eatery,cafes,4.4,"Jl. Suroto, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224","Cafe, Coffee shop, Espresso bar, Restaurant",kuliner,50000,,silol kopi eatery cafes cafe coffee shop espresso bar restaurant suroto kotabaru gondokusuman
Lunaria Coffee Yogyakarta,coffee shops,4.6,"Jl. Gedongkiwo No.29, Gedongkiwo, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55142",Coffee shop,kuliner,50000,,lunaria coffee coffee shops coffee shop gedongkiwo gedongkiwo mantrijeron
Arka Coffee and Space,coffee shops,4.8,"Jl. Taman Sari No.1/310, Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133",Coffee shop,kuliner,45000,,arka coffee space coffee shops coffee shop taman sari patehan kecamatan kraton
TETRA Coffee & Eatery - Yogyakarta // Terra Coffee,coffee shops,4.6,"Jl. Sagan I No.5, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55223",Coffee shop,kuliner,45000,,tetra coffee eatery terra coffee coffee shops coffee shop sagan terban gondokusuman
Tanamera Coffee Yogyakarta,cafes,4.6,"Jl. Jend. Sudirman No.3, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Cafe,kuliner,50000,,tanamera coffee cafes cafe jend sudirman cokrodiningratan jetis
LOKO CAFE MALIOBORO,cafes,4.5,"Komp. Ps. Kembang, Jl. Ps. Kembang, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271","Cafe, Coffee shop",kuliner,50000,,loko cafe malioboro cafes cafe coffee shop komp ps kembang ps kembang sosromenduran gedong tengen
Roaster And Bear Restaurant,restaurants,4.7,"Jl. P. Mangkubumi No.52, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233","Cafe, Asian restaurant, Western restaurant, Diner, Restaurant",kuliner,50000,,roaster bear restaurant restaurants cafe asian restaurant western restaurant diner restaurant mangkubumi gowongan jetis
Space Coffee Roastery,tempat penyangraian kopi,4.7,"Gg. Loncang Jl. Magelang - Yogyakarta No.88, Rogoyudan, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284","Cafe, Coffee roastery, Coffee shop, Coffee store, Coffee wholesaler, Hotel supply store",kuliner,350000,,space coffee roastery tempat penyangraian kopi cafe coffee roastery coffee shop coffee store coffee wholesaler hotel supply store gg loncang magelang rogoyudan sinduadi mlati sleman
Kalluna Cafe & Restaurant,restaurants,4.7,"Jl. Sajiono No.13, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224","Cafe, Asian restaurant, Restaurant",kuliner,50000,,kalluna cafe restaurant restaurants cafe asian restaurant restaurant sajiono kotabaru gondokusuman
TUGU LOR,coffee shops,4.5,"Jl. A.M. Sangaji No.72, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Coffee shop,kuliner,50000,,tugu lor coffee shops coffee shop sangaji cokrodiningratan jetis
Resto dan Cafe Jogja Isvara Kitchen & Coffee,restaurants,4.5,"Jl. Sultan Agung No.60, Wirogunan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55244","Cafe, Restaurant, Children's cafe, Diner, Espresso bar, Family restaurant, Function room facility, Lunch restaurant",kuliner,50000,,resto cafe jogja isvara kitchen coffee restaurants cafe restaurant children cafe diner espresso bar family restaurant function room facility lunch restaurant sultan agung wirogunan mergangsan
Sapulu Coffee,cafes,4.6,"Jl. Panembahan Mangkurat No.10, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131",Cafe,kuliner,50000,,sapulu coffee cafes cafe panembahan mangkurat panembahan kecamatan kraton
Noren Coffee & Roastery,coffee shops,4.9,"Jl. Sosrokusuman No.178-109, Suryatmajan, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55213",Coffee shop,kuliner,45000,,noren coffee roastery coffee shops coffee shop sosrokusuman suryatmajan danurejan
Eighteen Coffee Jogja,coffee shops,4.8,"Jl. Prof. DR. Ki Amri Yahya No.1, Pakuncen, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55253",Coffee shop,kuliner,45000,,eighteen coffee jogja coffee shops coffee shop prof dr ki amri yahya pakuncen wirobrajan
Taru Martani Coffee & Resto 1918,coffee shops,4.6,"Jl. Kompol Bambang Suprapto No.2A, Baciro, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55225","Coffee shop, Cigar shop",kuliner,50000,,taru martani coffee resto coffee shops coffee shop cigar shop kompol bambang suprapto baciro gondokusuman
Kaktus Coffee Place,coffee shops,4.7,"Jl. Gondang Raya No.4-5, RT.08/RW.63, Kentungan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283",Coffee shop,kuliner,50000,,kaktus coffee place coffee shops coffee shop gondang raya rt rw kentungan condongcatur depok sleman
Khwa Coffee Yogyakarta,coffee shops,4.9,"Jl. Sagan Utara No.12, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55223","Coffee shop, Cafe, Diner, Espresso bar",kuliner,45000,,khwa coffee coffee shops coffee shop cafe diner espresso bar sagan utara terban gondokusuman
Water Castle Cafe,cafes,4.7,"Jl. Polowijan, Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133","Cafe, Restaurant",kuliner,50000,,water castle cafe cafes cafe restaurant polowijan patehan kecamatan kraton
Harsa Jogja Coffee//Burger//Society,cafes,4.9,"Jl. Kemetiran No.16, Pringgokusuman, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55272",Cafe,kuliner,45000,,harsa jogja coffee burger society cafes cafe kemetiran pringgokusuman gedong tengen
B COFFEE YOGYA,coffee shops,4.8,"Jl. Jogokaryan No.61-63, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143",Coffee shop,kuliner,45000,,coffee yogya coffee shops coffee shop jogokaryan mantrijeron mantrijeron
fuze.klub - Flagship,cafes,5.0,"Jl. Karangkajen Timuran No.696, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153","Cafe, Coffee shop",kuliner,45000,,fuze klub flagship cafes cafe coffee shop karangkajen timuran brontokusuman mergangsan
Secret Garden Coffee and Chocolate,restaurants,4.4,"59X3+RHV, Jl. Prof. DR. Ki Amri Yahya No.2, Pakuncen, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55253","Indonesian restaurant, Coffee shop, Restaurant, Salad shop",kuliner,50000,,secret garden coffee chocolate restaurants indonesian restaurant coffee shop restaurant salad shop rhv prof dr ki amri yahya pakuncen wirobrajan
ARAH Coffee Pandawa,coffee shops,4.6,"Kaliurang St No.27, Karang Wuni, Caturtunggal, Depok, Sleman Regency, Special Region of Yogyakarta 55284",Coffee shop,kuliner,45000,,arah coffee pandawa coffee shops coffee shop kaliurang st karang wuni caturtunggal depok sleman regency special region
Epic Coffee & Epilog Furniture,cafes,4.5,"Jl. Palagan Tentara Pelajar No.29, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581","Cafe, Coffee shop, Furniture accessories",kuliner,100000,,epic coffee epilog furniture cafes cafe coffee shop furniture accessories palagan tentara pelajar mudal sariharjo ngaglik sleman
Wijen coffee,cafes,4.9,"Jl. Gedongan Baru No.11, Plumbon, Banguntapan, Kec. Banguntapan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55198",Cafe,kuliner,45000,,wijen coffee cafes cafe gedongan baru plumbon banguntapan banguntapan
Ever Coffee Yogyakarta,coffee shops,4.6,"Jl. Rogoyudan 1 No.1, Rogoyudan, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",Coffee shop,kuliner,45000,,coffee coffee shops coffee shop rogoyudan rogoyudan sinduadi mlati sleman
PLAI CAFE Jogja,coffee shops,4.8,"Jl. Raya Tajem No.KM.3, Kenayan, Wedomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584",Coffee shop,kuliner,45000,,plai cafe jogja coffee shops coffee shop raya tajem km kenayan wedomartani ngemplak sleman
Hagia Coffee Yogyakarta,coffee shops,4.5,"Jl. Pringgokusuman No.10, Pringgokusuman, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55272",Coffee shop,kuliner,45000,,hagia coffee coffee shops coffee shop pringgokusuman pringgokusuman gedong tengen
Metropole Coffee,coffee shops,4.5,"Jl. Nitikan Baru No.18, Sorosutan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55162",Coffee shop,kuliner,45000,,metropole coffee coffee shops coffee shop nitikan baru sorosutan umbulharjo
Filosofi Kopi Jogja,coffee shops,4.5,"Jl. Pandhawa No.001/17, Tegal Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581","Coffee shop, Coffee store",kuliner,50000,,filosofi kopi jogja coffee shops coffee shop coffee store pandhawa tegal rejo sariharjo ngaglik sleman
Black Forest Cafe,vegan restaurant,4.7,"59J9+772, Jl. Parangtritis No.83, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153","Vegan restaurant, Coffee shop, Health food restaurant",kuliner,50000,,black forest cafe vegan restaurant vegan restaurant coffee shop health food restaurant parangtritis brontokusuman mergangsan
Lestari Corner Coffee,coffee shops,4.6,"Jl. Nangka IV, Krodan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Coffee shop,kuliner,45000,,lestari corner coffee coffee shops coffee shop nangka iv krodan maguwoharjo depok sleman
Ada Coffee,cafes,4.5,"Jl. Cokrodipuran No.20, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",Cafe,kuliner,45000,,coffee cafes cafe cokrodipuran ngupasan gondomanan
Fill In Blue,coffee shops,4.8,"Jl. Brigjen Katamso, Prawirodirjan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55121",Coffee shop,kuliner,45000,,blue coffee shops coffee shop brigjen katamso prawirodirjan gondomanan
CUPP it Coffee & Bread,coffee shops,4.8,"Jl. Bhayangkara No.18, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55261","Coffee shop, Bakery",kuliner,45000,,cupp coffee bread coffee shops coffee shop bakery bhayangkara ngupasan gondomanan
Coklat Cafe,cafes,4.5,"Jl. Cik Di Tiro No.19, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55223",Cafe,kuliner,50000,,coklat cafe cafes cafe cik tiro terban gondokusuman
Ruang JAKA Coffee & Free Wifi,coffee shops,4.8,"Jl. Polowijan No.17B, Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133","Coffee shop, Coworking space, Espresso bar, Restaurant",kuliner,50000,,ruang jaka coffee free wifi coffee shops coffee shop coworking space espresso bar restaurant polowijan patehan kecamatan kraton
Le Travail Coffee,cafes,4.5,"Jl. Laksda Adisucipto No.19, Demangan, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55221",Cafe,kuliner,45000,,le travail coffee cafes cafe laksda adisucipto demangan gondokusuman
Kenal Coffee Yogyakarta,cafes,4.7,"Jl. Mangkuyudan No.19, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143","Cafe, Coffee shop",kuliner,45000,,kenal coffee cafes cafe coffee shop mangkuyudan mantrijeron mantrijeron
Piyama Cafe Yogyakarta,cafes,4.7,"Jl. Pangeran Diponegoro No.87, Bumijo, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55231",Cafe,kuliner,50000,,piyama cafe cafes cafe pangeran diponegoro bumijo jetis
Kebon Ndalem Coffee & Eatery,restaurants,4.4,"Jl. Pangeran Diponegoro No.2, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Restaurant,kuliner,50000,,kebon ndalem coffee eatery restaurants restaurant pangeran diponegoro gowongan jetis
Fortunate Coffee Jogja,restoran vegan,4.6,"Jl. Jogonegaran No.49E, Pringgokusuman, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271","Cafe, Bakery, Vegan restaurant, Coffee shop, Vegetarian restaurant",kuliner,50000,,fortunate coffee jogja restoran vegan cafe bakery vegan restaurant coffee shop vegetarian restaurant jogonegaran pringgokusuman gedong tengen
"GOFFEÉ Doughnuts & Coffee, Yogyakarta",coffee shops,4.8,"Jl. Wahid Hasyim, Ngropoh, Condongcatur, Kec. Depok, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55281","Coffee shop, Cafe",kuliner,45000,,goffe doughnuts coffee coffee shops coffee shop cafe wahid hasyim ngropoh condongcatur depok
Tentrem Bumi Coffee,coffee shops,4.5,"Jl. Beringin Raya, Denokan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55282",Coffee shop,kuliner,45000,,tentrem bumi coffee coffee shops coffee shop beringin raya denokan maguwoharjo depok sleman
Super Hotspot Cafe,cafes,4.5,"698X+MP4, Jl. Laksda Adisucipto, Ambarukmo, Demangan, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Cafe, Coffee shop",kuliner,50000,,super hotspot cafe cafes cafe coffee shop laksda adisucipto ambarukmo demangan depok sleman
Anak Panah Kopi Bizz HOS,coffee shops,4.8,"Jl. HOS Cokroaminoto No.185, Tegalrejo, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55244",Coffee shop,kuliner,45000,,anak panah kopi bizz hos coffee shops coffee shop hos cokroaminoto tegalrejo tegalrejo
Ng'laras Coffee & Gelato,coffee shops,4.7,"Jl. Gerilya No.813, RT.38/RW.10, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153",Coffee shop,kuliner,50000,,ng laras coffee gelato coffee shops coffee shop gerilya rt rw brontokusuman mergangsan
Sellie Coffee,coffee shops,4.5,"NG 3, Jl. Gerilya No.822, RT.039/RW.010, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153",Coffee shop,kuliner,25000,,sellie coffee coffee shops coffee shop ng gerilya rt rw brontokusuman mergangsan
28 Coffee Seturan,coffee shops,4.7,"Jalan Pemancar Sel., komplek Plaza Seturan Kavling 10A, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Coffee shop,kuliner,45000,,coffee seturan coffee shops coffee shop pemancar sel komplek plaza seturan kavling kledokan caturtunggal depok sleman
"Toscano Pizza Pasta & Coffee, Yogyakarta",coffee shops,4.9,"Jl. Bener No.7, Bener, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55243",Coffee shop,kuliner,45000,,toscano pizza pasta coffee coffee shops coffee shop bener bener tegalrejo
